name,east,north,n_rate,e_rate,row,column,pt_n_rate,pt_e_rate
Peg 1,401882.6939316753,5599990.808199079,-0.06712311393590556,-0.0348946018609858,33.0,60.0,-0.027445511892437935,0.32844486832618713
Peg 10,401633.98411539797,5599488.971317613,-0.11009467719425783,-0.0193340133123257,46.0,54.0,0.7692288160324097,0.050553929060697556
Peg 11,401697.91994167416,5599280.564717288,-0.8329024253291102,0.10055992797701427,51.0,56.0,-1.000311255455017,-0.27631810307502747
Peg 12,401872.59238784784,5599288.520260936,-0.6559927455900556,-0.09503835967831649,51.0,60.0,-1.0552277565002441,-0.09401033073663712
Peg 13,401981.524581142,5599228.460525637,-0.48485702067346403,-0.07077150428945526,52.0,63.0,-0.3287946581840515,-0.6393814086914062
Peg 14,401694.80390734534,5599142.781278689,-2.017308502716166,0.47589728990530755,54.0,55.0,-0.6982775330543518,0.693308413028717
Peg 15,401493.1618008809,5599274.8810435375,-0.15014577467301005,0.023383777997677775,51.0,50.0,0.6330466866493225,0.31483912467956543
Peg 17,401834.83924448554,5599087.799558049,-3.1775553928598192,-0.16713454157585067,56.0,59.0,-2.8234643936157227,0.08980224281549454
Peg 18,402023.42335493723,5599003.15488908,-0.4065081724661101,-0.13046164684970746,58.0,64.0,-0.5906163454055786,-0.4682910442352295
Peg 19,401962.6061349193,5598962.501621593,-1.0472863479919903,-0.8888018329740411,59.0,62.0,-0.7068228721618652,-0.15149207413196564
Peg 2,401604.1651194934,5599861.850595369,-0.03928295776446253,-0.031195681774754763,36.0,53.0,-0.4762050211429596,-0.9797956347465515
Peg 20,401949.93129827926,5598889.073452265,-2.3972128665668895,0.011741188343708076,61.0,62.0,-1.0280429124832153,1.6613256931304932
Peg 21,401809.3413031725,5598823.821893785,-7.077138303582804,3.303934492907924,62.0,58.0,-4.222097396850586,1.8861596584320068
Peg 22,401768.40792255255,5598723.512624888,-6.922810715522669,10.970571836799078,65.0,57.0,-2.6244988441467285,1.8035101890563965
Peg 23,401710.217476574,5598648.980075604,-0.029030700829841313,0.011522102480202578,67.0,56.0,-0.3843362331390381,-0.238570898771286
Peg 24,401684.56291183503,5598882.364715566,-5.381425753334941,0.782260807595257,61.0,55.0,-3.8370678424835205,1.0758439302444458
Peg 25,401666.11983532907,5598791.442497897,-5.059485304432941,2.3192368626928954,63.0,55.0,-4.176458358764648,1.321367621421814
Peg 26,401628.5453922344,5598779.434005157,-0.022070635117644878,-0.05517956721377635,63.0,54.0,-2.5103423595428467,0.3686058521270752
Peg 27,401507.73634172976,5598841.463468127,0.007360138465413574,-0.005571490533271401,62.0,51.0,-0.13316455483436584,0.022913722321391106
Peg 28,401583.98985908687,5598939.528869877,-0.6363655456801942,0.5932036354763413,59.0,53.0,-0.0818859115242958,0.22556933760643005
Peg 3,401558.2847077807,5599739.4579416,-0.06276951109061224,-0.025145607252434136,39.0,52.0,0.26044002175331116,-0.40045297145843506
Peg 4,401729.0483663135,5599693.141811232,-0.09812353021228692,-0.02301017010360831,41.0,56.0,1.4369993209838867,-0.7979523539543152
Peg 5,401864.92836730677,5599634.816322069,-0.16489308881474365,-0.024399665201667364,42.0,60.0,0.8369398713111877,-0.26617562770843506
Peg 6,402073.6730069632,5599699.49445697,-0.11053201707695673,-0.04512789365182717,40.0,65.0,0.31937557458877563,-0.44315826892852783
Peg 7,402186.36531592475,5599599.989807645,-0.07881829653466214,-0.024337462269666557,43.0,68.0,-0.8177005052566528,0.29733163118362427
Peg 8,401979.7155249593,5599467.11857222,-0.21046409688984416,-0.02933302863246078,46.0,63.0,0.8186348676681519,-0.09516891837120056
Peg 9,401783.7377843007,5599456.836122807,-0.3027779485341361,-0.059408431580329185,46.0,58.0,-0.10599363595247269,0.381363183259964
